2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 06:31:25 INFO  [Thread-196] c.m.dados.CheckSincronia - Sincronismo verificado com sucesso!
2025-01-13 07:04:48 INFO  [http-nio-0.0.0.0-1521-exec-10] c.m.d.MotelInteligenteApplication - Recebeu requisição com corpo: disponibilizar 9
2025-01-13 07:04:51 INFO  [http-nio-0.0.0.0-1521-exec-2] c.m.d.MotelInteligenteApplication - Recebeu requisição com corpo: abrir 9
2025-01-13 07:10:54 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-13 07:09:45.269', horainicio='2025-01-13 06:30:12.0', valorquarto=60.0, valorconsumo=0.0, pagodinheiro=0.0, pagopix=0.0, pagocartao=60.0, idcaixaatual=283 WHERE idlocacao=4547
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 07:31:24 INFO  [Thread-200] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 07:31:24 WARN  [Thread-200] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 07:31:26 INFO  [Thread-200] c.m.dados.CheckSincronia - Os bancos de dados não estão sincronizados e foram corrigidos.
2025-01-13 07:59:27 INFO  [http-nio-0.0.0.0-1521-exec-4] c.m.d.MotelInteligenteApplication - Recebeu requisição com corpo: locar 9
2025-01-13 07:59:27 INFO  [http-nio-0.0.0.0-1521-exec-4] com.motelinteligente.dados.fquartos - Registro inserido com sucesso: ID = 4548, Quarto = 9
2025-01-13 08:07:26 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-13 08:05:20.952', horainicio='2025-01-12 21:08:32.0', valorquarto=120.0, valorconsumo=61.0, pagodinheiro=0.0, pagopix=181.0, pagocartao=0.0, idcaixaatual=283 WHERE idlocacao=4543
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 08:31:24 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 08:31:24 WARN  [Thread-205] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 08:31:25 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 08:31:25 WARN  [Thread-205] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 08:31:26 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 08:31:26 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 08:31:26 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 08:31:27 INFO  [Thread-205] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 08:31:27 WARN  [Thread-205] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 08:31:28 WARN  [Thread-205] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 08:31:29 INFO  [Thread-205] c.m.dados.CheckSincronia - Os bancos de dados não estão sincronizados e foram corrigidos.
